review_id,product_id,user_id,rating,review_text,review_date
R00000,P1040,U5125,2.0,客服很不专业，解决不了问题。 真的后悔购买，太糟了！ 不推荐，没什么用,2023-09-22
R00001,P1963,U5504,4.0,非常满意的一次购物，会回购的。 这是第1次购买，一如既往的好！,2023-11-21
R00002,P1470,U5021,2.0,一次糟糕的购物体验。,2023-02-04
R00003,P1906,U5586,3.0,挺普通的，没什么特色。 没什么好说的，就这样吧。 用用看再说,2023-09-24
R00004,P1942,U5324,1.0,质量一般，有瑕疵。,2023-09-17
R00005,P1546,U5403,4.0,非常满意的一次购物，会回购的。 没什么特别的,2023-09-03
R00006,P1693,U5986,5.0,外观漂亮，功能齐全。,2023-05-14
R00007,P1036,U5515,1.0,外观普通，功能有问题。,2023-07-24
R00008,P1567,U5156,3.0,一般般，不算好也不算坏。 包装破损，送货慢，还行，凑合用吧,2023-01-10
R00009,P1904,U5009,1.0,包装破损，送货慢。 不推荐，没什么用，暂时没发现什么问题,2023-07-31
R00010,P1540,U5740,2.0,性价比不高，不值得。,2023-11-05
R00011,P1168,U5685,1.0,   ,2023-01-29
R00012,P1249,U5794,4.0,非常满意的一次购物，会回购的。,2023-04-06
R00013,P1287,U5136,5.0,质量很好，物超所值。 这是第2次购买，一如既往的好！ 非常满意的一次购物，会回购的，挺普通的，没什么特色,2023-06-25
R00014,P1590,U5696,1.0,有点失望，和描述不符。 性价比不高，不值得,2023-01-22
R00015,P1577,U5210,3.0,挺普通的，没什么特色。 没什么好说的，就这样吧。,2023-05-11
R00016,P1729,U5628,5.0,推荐购买，效果显著。 简直完美，超出预期，客服很不专业，解决不了问题,2023-06-25
R00017,P1549,U5534,3.0,没什么特别的。,2023-03-18
R00018,P1550,U5447,3.0,一般般，不算好也不算坏。 没什么好说的，就这样吧。,2023-09-23
R00019,P1972,U5108,3.0,暂时没发现什么问题。 一次糟糕的购物体验,2023-05-07
R00020,P1428,U5876,3.0,一般般，不算好也不算坏。 一般般，不算好也不算坏，外观漂亮，功能齐全,2023-07-17
R00021,P1010,U5211,5.0,简直完美，超出预期。 差评，太差了，不满意，不会再买,2023-05-05
R00022,P1210,U5440,2.0,质量一般，有瑕疵。,2023-11-19
R00023,P1154,U5181,3.0,还可以吧，一般般。,2023-11-11
R00024,P1590,U5581,2.0,包装破损，送货慢。 物流还算正常,2023-11-07
R00025,P1430,U5474,2.0,一次糟糕的购物体验。 真的后悔购买，太糟了！ 还行，凑合用吧，还可以吧，一般般,2023-05-04
R00026,P1170,U5466,3.0,价格适中，没有惊喜。 没什么好说的，就这样吧。 用用看再说，性价比很高，值得拥有,2023-01-06
R00027,P1814,U5649,5.0,性价比很高，值得拥有。,2023-01-20
R00028,P1130,U5057,5.0,客服服务态度很好，耐心解答。,2023-06-17
R00029,P1265,U5371,3.0,没什么特别的。,2023-03-13
R00030,P1912,U5046,4.0,客服服务态度很好，耐心解答。,2023-02-27
R00031,P1181,U5284,2.0,不推荐，没什么用。,2023-02-10
R00032,P1175,U5853,1.0,有点失望，和描述不符。 挺普通的，没什么特色，外观漂亮，功能齐全,2023-05-26
R00033,P1149,U5682,5.0,包装精美，送货速度快。 这是第3次购买，一如既往的好！,2023-09-30
R00034,P1558,U5705,2.0,性价比不高，不值得。 真的后悔购买，太糟了！ 客服服务态度很好，耐心解答,2023-07-11
R00035,P1292,U5492,1.0,一次糟糕的购物体验。 真的后悔购买，太糟了！ 包装精美，送货速度快,2023-10-22
R00036,P1399,U5678,1.0,差评，太差了。 还可以吧，一般般，包装破损，送货慢,2023-05-17
