comment_id,user_id,comment_text,rating,is_purchased
1,user_1,商品质量非常好，物流也很快，非常满意！,4,True
2,user_2,客服态度好，包装完整，下次还会再来。,4,
3,user_3,性价比超高，强烈推荐大家购买！,5,
4,user_4,发货迅速，快递员服务态度好，点赞！,4,True
5,user_5,颜色和图片一模一样，实物比想象中还好看。,4,True
6,user_6,商品质量非常好，物流也很快，非常满意！,4,True
7,,客服态度好，包装完整，下次还会再来。,4,True
8,user_8,性价比超高，强烈推荐大家购买！,4,False
9,user_9,发货迅速，快递员服务态度好，点赞！,5,False
10,user_10,颜色和图片一模一样，实物比想象中还好看。,4,False
11,user_11,商品质量非常好，物流也很快，非常满意！,4,True
12,user_12,客服态度好，包装完整，下次还会再来。,4,False
13,user_13,性价比超高，强烈推荐大家购买！,4,True
14,,发货迅速，快递员服务态度好，点赞！,4,True
15,user_15,颜色和图片一模一样，实物比想象中还好看。,4,False
16,user_16,商品质量非常好，物流也很快，非常满意！,4,True
17,user_17,客服态度好，包装完整，下次还会再来。,5,False
18,user_18,性价比超高，强烈推荐大家购买！,4,False
19,user_19,发货迅速，快递员服务态度好，点赞！,5,False
20,user_20,颜色和图片一模一样，实物比想象中还好看。,5,False
21,,商品质量非常好，物流也很快，非常满意！,4,False
22,user_22,客服态度好，包装完整，下次还会再来。,4,
23,user_23,性价比超高，强烈推荐大家购买！,5,
24,user_24,发货迅速，快递员服务态度好，点赞！,5,
25,user_25,颜色和图片一模一样，实物比想象中还好看。,5,
26,user_26,商品质量非常好，物流也很快，非常满意！,4,
27,user_27,客服态度好，包装完整，下次还会再来。,4,False
28,,性价比超高，强烈推荐大家购买！,5,True
29,user_29,发货迅速，快递员服务态度好，点赞！,4,True
30,user_30,颜色和图片一模一样，实物比想象中还好看。,4,False
31,user_31,商品质量非常好，物流也很快，非常满意！,5,True
32,user_32,客服态度好，包装完整，下次还会再来。,4,True
33,user_33,性价比超高，强烈推荐大家购买！,5,
34,user_34,发货迅速，快递员服务态度好，点赞！,5,
35,,颜色和图片一模一样，实物比想象中还好看。,5,
36,user_36,商品质量非常好，物流也很快，非常满意！,4,True
37,user_37,客服态度好，包装完整，下次还会再来。,5,
38,user_38,性价比超高，强烈推荐大家购买！,4,False
39,user_39,发货迅速，快递员服务态度好，点赞！,5,True
40,user_40,颜色和图片一模一样，实物比想象中还好看。,4,True
41,user_41,商品质量非常好，物流也很快，非常满意！,5,
42,,客服态度好，包装完整，下次还会再来。,5,False
43,user_43,性价比超高，强烈推荐大家购买！,4,
44,user_44,发货迅速，快递员服务态度好，点赞！,4,
45,user_45,颜色和图片一模一样，实物比想象中还好看。,4,True
46,user_46,商品质量非常好，物流也很快，非常满意！,4,True
47,user_47,客服态度好，包装完整，下次还会再来。,5,
48,user_48,性价比超高，强烈推荐大家购买！,4,True
49,,发货迅速，快递员服务态度好，点赞！,4,True
50,user_50,颜色和图片一模一样，实物比想象中还好看。,4,True
