review_text,sentiment
这个商品很好，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example95.com,1
非常太慢！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常垃圾！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品满意，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example12.com,1
这个商品很好，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example4.com,1
非常太慢！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品很好，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example72.com,1
非常破损！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常后悔！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品很好，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example98.com,1
这个商品性价比高，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example44.com,1
非常太慢！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品服务好，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example14.com,1
非常垃圾！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常虚假宣传！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品很好，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example94.com,1
非常垃圾！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品性价比高，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example11.com,1
这个商品惊喜，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example47.com,1
这个商品喜欢，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example6.com,1
这个商品物流快，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example11.com,1
这个商品喜欢，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example49.com,1
非常虚假宣传！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常虚假宣传！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常客服差！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品喜欢，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example78.com,1
这个商品满意，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example94.com,1
非常后悔！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常破损！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常虚假宣传！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品很好，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example30.com,1
这个商品服务好，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example52.com,1
非常太慢！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品惊喜，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example92.com,1
非常后悔！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常后悔！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常失望！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常破损！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品惊喜，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example55.com,1
这个商品性价比高，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example47.com,1
非常失望！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品喜欢，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example97.com,1
非常垃圾！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常失望！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品性价比高，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example77.com,1
非常不值！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品超值，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example68.com,1
非常破损！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品很好，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example88.com,1
这个商品满意，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example97.com,1
非常虚假宣传！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常不值！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常差评！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品物流快，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example65.com,1
这个商品满意，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example14.com,1
这个商品物流快，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example82.com,1
这个商品质量不错，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example20.com,1
非常失望！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品满意，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example1.com,1
这个商品超值，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example3.com,1
非常虚假宣传！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品物流快，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example31.com,1
非常异味！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品喜欢，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example94.com,1
非常垃圾！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品满意，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example99.com,1
非常后悔！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品推荐，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example34.com,1
这个商品惊喜，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example55.com,1
这个商品满意，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example97.com,1
这个商品质量不错，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example92.com,1
非常虚假宣传！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常破损！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常太慢！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常虚假宣传！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常破损！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常太慢！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常差评！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
非常差评！物流拖了一周还没到，客服根本不理人。产品和宣传完全不符，简直是诈骗！ contact@example.com,0
这个商品喜欢，特别是物流速度非常快，客服也很耐心解答问题。虽然价格稍高，但物有所值！ https://example66.com,1
